invoice_number,csv_amount,bq_amount,state,start_date,end_date,_merge,category,amount_diff
INV-108456,262.0,261.53,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.47
INV-108457,35.0,35.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108458,195.0,195.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108459,56.0,56.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108460,74.0,74.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108461,7108.0,7108.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108462,680.0,680.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108463,192.0,192.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108464,180.0,180.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108465,294.0,294.49,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.49
INV-108466,52.0,52.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108467,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108468,30.0,30.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108469,238.0,238.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
